self_employed,sought_treatment,employer_benefits,employer_takes_seriously,fear_negative_consequences,work_interference,remote_work,gender,age,country,year,productivity_affected,has_mental_health_disorder,tech_role
No,Yes,Yes,No,Maybe,Often,No,Female,27.0,United States,2014,,,
No,Yes,Yes,Don't Know,Yes,Sometimes,Yes,Female,37.0,United States,2014,,,
Yes,Yes,No,No,Maybe,Sometimes,No,Male,32.0,Netherlands,2014,,,
No,Yes,No,No,Maybe,Often,No,Male,25.0,United States,2014,,,
No,Yes,Don't Know,Yes,No,Often,No,Male,29.0,Netherlands,2014,,,
No,Yes,Yes,No,Yes,Often,No,Female,30.0,United States,2014,,,
No,Yes,Don't Know,Yes,No,Often,No,Female,34.0,Canada,2014,,,
No,Yes,Yes,No,Maybe,Sometimes,No,Male,32.0,United Kingdom,2014,,,
No,No,Don't Know,Yes,No,,No,Male,37.0,Germany,2014,,,
No,Yes,Don't Know,Yes,No,Sometimes,No,Male,41.0,Germany,2014,,,
No,No,Yes,No,Yes,Never,No,Male,38.0,United States,2014,,,
No,Yes,Yes,Don't Know,No,Sometimes,No,Male,32.0,United States,2014,,,
No,Yes,Yes,Yes,Maybe,Sometimes,No,Female,28.0,United States,2014,,,
Yes,No,No,Yes,No,Never,Yes,Male,,United States,2014,,,
No,No,Yes,No,Maybe,Never,No,Male,43.0,United States,2014,,,
No,Yes,No,No,Yes,Often,No,Male,32.0,United States,2014,,,
No,Yes,Yes,Yes,Yes,Sometimes,No,Male,25.0,United States,2014,,,
No,Yes,Yes,Yes,No,Sometimes,No,Male,37.0,United States,2014,,,
Yes,Yes,No,No,No,Sometimes,No,Male,36.0,United States,2014,,,
No,Yes,Don't Know,Yes,No,Rarely,Yes,Male,24.0,United States,2014,,,
No,Yes,Yes,Don't Know,Maybe,Sometimes,No,Male,40.0,United States,2014,,,
No,No,Don't Know,Yes,No,,No,Male,29.0,United States,2014,,,
No,No,Don't Know,Yes,No,Never,No,Male,43.0,United States,2014,,,
No,No,Yes,Don't Know,Maybe,,Yes,Male,29.0,United States,2014,,,
No,No,Don't Know,Don't Know,Maybe,Sometimes,No,Male,26.0,United States,2014,,,
Yes,Yes,No,No,Yes,Often,Yes,Female,33.0,Canada,2014,,,
No,No,Don't Know,Yes,No,Sometimes,Yes,Female,35.0,United States,2014,,,
No,No,Yes,Don't Know,Yes,Never,Yes,Male,45.0,United States,2014,,,
No,Yes,No,Don't Know,Maybe,Rarely,Yes,Male,25.0,United States,2014,,,
Yes,Yes,No,Don't Know,Maybe,Sometimes,Yes,Male,50.0,France,2014,,,
No,Yes,No,Yes,No,Rarely,No,Male,26.0,Australia,2014,,,
No,Yes,Yes,Don't Know,Yes,Often,No,Female,33.0,United States,2014,,,
No,No,No,Don't Know,Maybe,Often,No,Male,30.0,India,2014,,,
No,Yes,Yes,Yes,No,Sometimes,Yes,Male,33.0,Croatia,2014,,,
No,Yes,Yes,No,Maybe,Often,No,Male,29.0,France,2014,,,
No,No,No,Don't Know,Maybe,,Yes,Male,37.0,Germany,2014,,,
No,Yes,Don't Know,Don't Know,No,Sometimes,Yes,Male,25.0,United States,2014,,,
No,No,Yes,Don't Know,Maybe,,No,Male,40.0,United States,2014,,,
No,No,Yes,Don't Know,Maybe,Sometimes,No,Male,24.0,Canada,2014,,,
No,Yes,Don't Know,Don't Know,Maybe,Never,No,Male,40.0,United Kingdom,2014,,,
No,Yes,Don't Know,Don't Know,Yes,Sometimes,No,Male,46.0,United States,2014,,,
No,Yes,Yes,Don't Know,Yes,Rarely,No,Male,38.0,United States,2014,,,
No,No,No,Don't Know,Yes,Never,Yes,Male,34.0,United States,2014,,,
Yes,Yes,No,No,No,Rarely,No,Male,32.0,United Kingdom,2014,,,
No,Yes,No,No,Maybe,Sometimes,No,Male,44.0,United Kingdom,2014,,,
No,Yes,Don't Know,No,Maybe,Never,No,Female,33.0,United Kingdom,2014,,,
No,Yes,Don't Know,Don't Know,No,Rarely,No,Female,45.0,United States,2014,,,
No,No,Don't Know,Yes,No,,No,Male,35.0,United States,2014,,,
Yes,Yes,No,No,Maybe,Often,No,Male,26.0,Germany,2014,,,
No,Yes,Don't Know,Don't Know,No,Sometimes,Yes,Female,20.0,United States,2014,,,
Yes,Yes,Yes,Yes,Yes,Often,Yes,Other,,United States,2014,,,
No,No,No,Yes,Maybe,Sometimes,No,Male,37.0,Netherlands,2014,,,
No,No,Yes,No,Maybe,,No,Male,28.0,United States,2014,,,
No,Yes,Yes,No,Yes,Sometimes,No,Female,42.0,United States,2014,,,
No,No,No,Don't Know,Maybe,,No,Male,32.0,United Kingdom,2014,,,
No,Yes,Yes,Don't Know,Maybe,Rarely,Yes,Female,36.0,United States,2014,,,
No,No,No,No,Yes,Rarely,No,Male,27.0,New Zealand,2014,,,
No,No,No,No,Yes,Rarely,No,Male,27.0,New Zealand,2014,,,
No,Yes,No,No,Maybe,Sometimes,No,Male,27.0,United Kingdom,2014,,,
No,Yes,No,Yes,No,Sometimes,Yes,Male,25.0,United Kingdom,2014,,,
No,No,No,Don't Know,Maybe,,No,Male,41.0,United Kingdom,2014,,,
No,Yes,Don't Know,Don't Know,Maybe,Sometimes,No,Male,23.0,Germany,2014,,,
No,Yes,Don't Know,Don't Know,Maybe,Sometimes,No,Male,21.0,United Kingdom,2014,,,
No,Yes,No,Don't Know,No,Often,No,Male,26.0,Moldova,2014,,,
No,No,Don't Know,Don't Know,Maybe,Rarely,No,Male,29.0,Sweden,2014,,,
No,No,No,Don't Know,Yes,Sometimes,No,Male,28.0,Belgium,2014,,,
No,No,No,Yes,Maybe,,No,Female,27.0,United Kingdom,2014,,,
No,No,No,Yes,No,Never,No,Male,23.0,Israel,2014,,,
No,No,Don't Know,Don't Know,Maybe,Sometimes,Yes,Female,26.0,United States,2014,,,
No,Yes,No,Don't Know,No,Sometimes,No,Male,38.0,United Kingdom,2014,,,
No,Yes,No,Yes,Maybe,Sometimes,No,Male,39.0,United Kingdom,2014,,,
No,Yes,Yes,Don't Know,Yes,Often,No,Male,35.0,United States,2014,,,
No,No,Yes,Don't Know,Maybe,Rarely,No,Male,32.0,United States,2014,,,
No,Yes,Yes,Don't Know,Maybe,Sometimes,No,Male,32.0,United States,2014,,,
No,No,No,Don't Know,Yes,Never,No,Male,26.0,United Kingdom,2014,,,
No,Yes,Don't Know,No,No,Rarely,No,Male,38.0,Canada,2014,,,
No,No,Yes,Yes,No,Rarely,No,Female,34.0,United Kingdom,2014,,,
No,Yes,Don't Know,Don't Know,Yes,Often,No,Male,39.0,United States,2014,,,
Yes,No,Don't Know,Yes,No,Never,Yes,Male,32.0,Canada,2014,,,
Yes,No,Don't Know,Don't Know,Yes,Never,Yes,Male,37.0,Netherlands,2014,,,
No,Yes,Don't Know,Don't Know,No,Never,No,Male,31.0,United Kingdom,2014,,,
No,Yes,No,Don't Know,No,Rarely,No,Male,30.0,United States,2014,,,
No,No,Don't Know,No,Yes,Never,Yes,Male,51.0,Singapore,2014,,,
No,Yes,Yes,Don't Know,Yes,Sometimes,No,Male,29.0,United States,2014,,,
No,No,Yes,Yes,Maybe,Never,No,Male,31.0,United Kingdom,2014,,,
No,No,Don't Know,Don't Know,Yes,,No,Male,31.0,India,2014,,,
No,Yes,Don't Know,Don't Know,Maybe,Sometimes,Yes,Male,26.0,United States,2014,,,
No,Yes,Yes,No,Maybe,Often,Yes,Female,46.0,United States,2014,,,
No,No,Yes,Don't Know,Maybe,Sometimes,No,Male,32.0,United States,2014,,,
No,Yes,Yes,Don't Know,Maybe,Sometimes,No,Male,29.0,United States,2014,,,
No,No,Don't Know,Don't Know,Maybe,Never,Yes,Male,34.0,Poland,2014,,,
No,No,No,Yes,Yes,Often,No,Male,26.0,Colombia,2014,,,
No,Yes,Yes,No,Maybe,Sometimes,No,Female,32.0,United States,2014,,,
No,No,Don't Know,No,Maybe,,No,Male,29.0,United States,2014,,,
No,No,Yes,Don't Know,Yes,,No,Male,30.0,United States,2014,,,
No,Yes,Yes,Yes,No,Sometimes,No,Female,40.0,United States,2014,,,
No,Yes,No,No,Maybe,Sometimes,No,Male,23.0,United Kingdom,2014,,,
No,No,No,No,Yes,Rarely,No,Male,20.0,Georgia,2014,,,
No,No,Don't Know,Don't Know,No,,No,Male,38.0,United States,2014,,,
No,Yes,Yes,No,Maybe,Rarely,No,Female,26.0,United States,2014,,,
No,No,No,No,No,Never,No,Male,29.0,United States,2014,,,
Yes,No,No,Don't Know,No,Sometimes,Yes,Male,40.0,China,2014,,,
No,Yes,No,No,Maybe,Sometimes,Yes,Female,25.0,Bulgaria,2014,,,
No,Yes,Yes,No,Maybe,Sometimes,No,Female,32.0,United States,2014,,,
No,Yes,Yes,No,Maybe,Sometimes,No,Male,38.0,United States,2014,,,
No,Yes,Yes,Don't Know,Maybe,Never,Yes,Female,72.0,United States,2014,,,
No,Yes,No,Yes,Maybe,Sometimes,Yes,Female,35.0,United States,2014,,,
No,Yes,No,Don't Know,Yes,Often,No,Female,28.0,United States,2014,,,
No,No,Don't Know,Yes,No,Never,No,Female,27.0,United States,2014,,,
Yes,No,Don't Know,Don't Know,Maybe,Rarely,Yes,Female,56.0,United States,2014,,,
No,Yes,Yes,Don't Know,Maybe,Sometimes,Yes,Male,38.0,United States,2014,,,
No,No,Don't Know,Don't Know,Maybe,,No,Female,31.0,Belgium,2014,,,
No,Yes,Yes,Yes,Maybe,Sometimes,No,Male,40.0,United States,2014,,,
No,Yes,Yes,Don't Know,Maybe,Sometimes,No,Male,44.0,United States,2014,,,
No,No,Yes,Don't Know,Maybe,Sometimes,No,Male,34.0,Canada,2014,,,
No,No,Don't Know,Don't Know,No,Never,Yes,Male,37.0,United Kingdom,2014,,,
No,No,Don't Know,No,No,Never,No,Male,38.0,Italy,2014,,,
No,No,Don't Know,Don't Know,No,,No,Male,27.0,Germany,2014,,,
No,Yes,Yes,Yes,Yes,Sometimes,No,Female,34.0,Ireland,2014,,,
No,No,Don't Know,No,Maybe,Rarely,No,Female,35.0,Ireland,2014,,,
No,Yes,No,No,Yes,Often,No,Male,34.0,Ireland,2014,,,
No,Yes,Yes,Don't Know,Yes,Often,Yes,Male,32.0,United States,2014,,,
No,No,Don't Know,Don't Know,Maybe,,No,Male,25.0,Ireland,2014,,,
No,Yes,No,No,Yes,Often,Yes,Male,28.0,Australia,2014,,,
No,Yes,Yes,No,Yes,Rarely,No,Female,28.0,United States,2014,,,
Yes,Yes,No,Don't Know,No,,No,Male,31.0,Brazil,2014,,,
No,No,Don't Know,Don't Know,Maybe,,No,Male,24.0,United Kingdom,2014,,,
No,Yes,No,Don't Know,Maybe,Never,Yes,Male,34.0,Ireland,2014,,,
No,Yes,No,Don't Know,No,Sometimes,No,Male,32.0,Ireland,2014,,,
No,No,Don't Know,Yes,Maybe,Often,Yes,Male,34.0,United Kingdom,2014,,,
No,Yes,No,No,Maybe,Sometimes,No,Male,23.0,United States,2014,,,
No,No,No,Don't Know,No,Often,No,Male,33.0,Czech Republic,2014,,,
No,Yes,Don't Know,No,Maybe,Sometimes,No,Male,29.0,Singapore,2014,,,
No,No,No,Don't Know,Maybe,,No,Male,24.0,Ireland,2014,,,
No,No,Don't Know,No,Yes,Never,Yes,Male,45.0,Ireland,2014,,,
No,Yes,No,No,Maybe,Sometimes,No,Female,34.0,United Kingdom,2014,,,
No,No,Don't Know,No,Yes,Sometimes,No,Male,31.0,Philippines,2014,,,
No,Yes,Yes,Don't Know,Maybe,Often,Yes,Male,33.0,United States,2014,,,
No,No,No,Don't Know,Maybe,,No,Male,28.0,Netherlands,2014,,,
No,No,Don't Know,Don't Know,No,Rarely,Yes,Male,27.0,United Kingdom,2014,,,
No,No,No,No,Yes,Never,No,Male,42.0,Ireland,2014,,,
No,No,No,Don't Know,Maybe,,No,Male,28.0,Netherlands,2014,,,
No,Yes,Yes,Don't Know,No,Sometimes,Yes,Male,38.0,United States,2014,,,
No,Yes,Don't Know,No,Maybe,Often,No,Male,46.0,United States,2014,,,
No,Yes,Don't Know,Don't Know,No,Sometimes,Yes,Male,46.0,United States,2014,,,
Yes,Yes,Don't Know,Yes,No,Rarely,Yes,Female,41.0,Netherlands,2014,,,
No,No,Don't Know,Yes,Maybe,Never,No,Male,23.0,United Kingdom,2014,,,
No,Yes,Yes,Yes,Maybe,Sometimes,No,Male,24.0,Ireland,2014,,,
No,Yes,No,Don't Know,No,Rarely,No,Female,23.0,Ireland,2014,,,
No,No,Yes,Yes,Maybe,,No,Male,39.0,Netherlands,2014,,,
No,No,Yes,Don't Know,Maybe,Never,No,Female,32.0,Ireland,2014,,,
No,Yes,Don't Know,Don't Know,Yes,Sometimes,No,Male,25.0,United States,2014,,,
No,No,No,Don't Know,Yes,,Yes,Male,39.0,Greece,2014,,,
No,Yes,No,Yes,No,Sometimes,No,Female,23.0,United Kingdom,2014,,,
Yes,Yes,No,Don't Know,Maybe,Sometimes,Yes,Male,24.0,United Kingdom,2014,,,
No,Yes,Yes,Yes,No,Sometimes,No,Male,25.0,United Kingdom,2014,,,
No,Yes,No,Don't Know,No,Rarely,No,Male,23.0,United Kingdom,2014,,,
No,Yes,Don't Know,Don't Know,Yes,Sometimes,No,Other,24.0,United Kingdom,2014,,,
No,Yes,Yes,Don't Know,Maybe,Often,No,Male,23.0,Canada,2014,,,
No,Yes,Don't Know,Don't Know,Maybe,Often,Yes,Male,60.0,United States,2014,,,
No,No,No,No,Yes,Sometimes,No,Male,28.0,Ireland,2014,,,
No,Yes,Yes,No,Yes,Often,No,Male,28.0,United States,2014,,,
No,No,Don't Know,Don't Know,Maybe,Sometimes,No,Male,30.0,Netherlands,2014,,,
No,Yes,Don't Know,Don't Know,No,Sometimes,No,Male,31.0,Germany,2014,,,
Yes,Yes,No,Don't Know,Maybe,Often,Yes,Male,31.0,Poland,2014,,,
No,Yes,Don't Know,Don't Know,Maybe,Rarely,No,Male,28.0,Ireland,2014,,,
No,Yes,Yes,Don't Know,No,Rarely,Yes,Female,43.0,United States,2014,,,
No,No,No,No,Maybe,,No,Female,32.0,United Kingdom,2014,,,
No,Yes,Yes,Don't Know,Maybe,Often,No,Male,22.0,Australia,2014,,,
No,No,Yes,Don't Know,No,Never,No,Male,32.0,United States,2014,,,
No,Yes,No,Don't Know,Yes,Often,No,Male,36.0,Finland,2014,,,
No,Yes,Yes,Don't Know,Yes,Sometimes,No,Female,41.0,United States,2014,,,
No,Yes,Yes,Yes,No,Sometimes,No,Male,30.0,United States,2014,,,
Yes,Yes,Yes,Yes,No,Often,No,Male,30.0,United States,2014,,,
No,Yes,No,Yes,No,Often,No,Male,36.0,South Africa,2014,,,
No,Yes,Yes,No,Yes,Sometimes,Yes,Male,29.0,United States,2014,,,
No,No,Don't Know,Don't Know,Maybe,Rarely,No,Male,36.0,United States,2014,,,
No,Yes,No,Don't Know,No,,No,Male,26.0,United Kingdom,2014,,,
No,Yes,Yes,Yes,No,Often,Yes,Male,32.0,United States,2014,,,
No,Yes,Yes,No,Yes,Sometimes,No,Male,34.0,United States,2014,,,
No,No,No,No,Yes,,Yes,Female,46.0,United States,2014,,,
No,Yes,Yes,Don't Know,Maybe,Sometimes,No,Male,25.0,United States,2014,,,
No,No,No,No,Yes,Sometimes,No,Male,41.0,Australia,2014,,,
No,No,Not Eligible,Don't Know,No,,Sometimes,Male,39.0,United Kingdom,2016,,No,
No,Yes,No,Yes,No,,Never,Male,29.0,United States of America,2016,,Yes,
No,Yes,No,Don't Know,Maybe,,Always,Male,38.0,United Kingdom,2016,,No,
Yes,Yes,,,,,Sometimes,Male,43.0,United Kingdom,2016,Yes,Yes,
No,Yes,Yes,No,Yes,,Sometimes,Female,43.0,United States of America,2016,,Yes,1.0
No,Yes,Yes,No,Yes,,Sometimes,Male,42.0,United Kingdom,2016,,Yes,
No,No,Don't Know,Yes,No,,Sometimes,Male,30.0,United States of America,2016,,No,
No,Yes,Yes,Don't Know,No,,Always,Female,37.0,United States of America,2016,,Yes,
No,Yes,Don't Know,No,Yes,,Sometimes,Female,44.0,United States of America,2016,,Yes,1.0
Yes,Yes,,,,,Always,Male,30.0,United States of America,2016,Yes,Yes,
No,Yes,Yes,Yes,No,,Never,Male,28.0,United States of America,2016,,Yes,
No,Yes,Yes,No,Yes,,Sometimes,Male,34.0,United States of America,2016,,Yes,1.0
No,Yes,Yes,Yes,No,,Always,Female,30.0,United States of America,2016,,Yes,
No,No,Yes,Yes,No,,Sometimes,Male,44.0,Canada,2016,,Uncertain,1.0
No,Yes,Yes,No,No,,Always,Male,35.0,United States of America,2016,,Yes,
No,Yes,Don't Know,Don't Know,Maybe,,Sometimes,Male,52.0,United States of America,2016,,Yes,
No,Yes,Not Eligible,No,Maybe,,Always,Other,32.0,Canada,2016,,Yes,
No,No,No,No,Maybe,,Never,Male,34.0,United Kingdom,2016,,No,
Yes,Yes,,,,,Always,Female,25.0,United States of America,2016,Yes,Yes,
No,Yes,Don't Know,Yes,Yes,,Sometimes,Male,31.0,United States of America,2016,,Yes,1.0
No,No,No,Don't Know,No,,Sometimes,Male,26.0,United States of America,2016,,No,
No,No,Yes,Don't Know,No,,Never,Male,35.0,United States of America,2016,,No,1.0
No,No,Yes,Don't Know,Maybe,,Sometimes,Male,25.0,Germany,2016,,No,
No,Yes,Yes,Don't Know,Maybe,,Sometimes,Male,33.0,Canada,2016,,No,
Yes,No,,,,,Sometimes,Male,38.0,United States of America,2016,Not applicable to me,No,
No,No,Yes,Yes,No,,Never,Male,42.0,Germany,2016,,No,1.0
No,Yes,No,No,Yes,,Sometimes,Male,27.0,Netherlands,2016,,Yes,1.0
No,Yes,Don't Know,Don't Know,No,,Never,Male,35.0,Germany,2016,,Uncertain,
No,Yes,Don't Know,Don't Know,Maybe,,Never,Female,34.0,United Kingdom,2016,,Uncertain,1.0
No,Yes,Not Eligible,Yes,No,,Never,Other,32.0,United Kingdom,2016,,Yes,
No,Yes,Not Eligible,No,Maybe,,Never,Other,32.0,Germany,2016,,Yes,
No,Yes,Yes,Yes,No,,Sometimes,Male,30.0,United States of America,2016,,Yes,
No,No,Don't Know,No,Maybe,,Never,Male,31.0,United States of America,2016,,Uncertain,
Yes,No,,,,,Sometimes,Male,37.0,Czech Republic,2016,Yes,No,
No,No,Yes,Yes,No,,Sometimes,Male,36.0,United Kingdom,2016,,Yes,
No,No,No,Don't Know,Maybe,,Never,Male,33.0,Germany,2016,,No,
No,Yes,Yes,Yes,No,,Always,Male,44.0,United States of America,2016,,Yes,
No,No,No,Yes,No,,Never,Male,29.0,United Kingdom,2016,,Uncertain,
No,Yes,No,Don't Know,No,,Sometimes,Male,29.0,United Kingdom,2016,,Uncertain,
No,No,Yes,Don't Know,Maybe,,Always,Male,44.0,Canada,2016,,No,
Yes,No,,,,,Sometimes,Male,34.0,United States of America,2016,Yes,Yes,
No,Yes,Yes,No,No,,Always,Male,40.0,United States of America,2016,,Yes,
No,Yes,Yes,No,Yes,,Never,Other,46.0,Netherlands,2016,,Yes,
Yes,Yes,,,,,Sometimes,Male,28.0,Lithuania,2016,Yes,Yes,
No,No,No,No,Maybe,,Never,Male,41.0,United States of America,2016,,No,1.0
No,Yes,Yes,No,Maybe,,Sometimes,Male,33.0,United States of America,2016,,Yes,
Yes,Yes,,,,,Sometimes,Male,32.0,United States of America,2016,Yes,Yes,
No,No,Don't Know,Don't Know,Maybe,,Sometimes,Male,45.0,United States of America,2016,,Uncertain,
Yes,Yes,,,,,Sometimes,Male,43.0,United Kingdom,2016,Yes,Uncertain,
No,Yes,Yes,Don't Know,No,,Always,Female,37.0,United States of America,2016,,Yes,
No,Yes,No,Don't Know,Maybe,,Never,Male,37.0,Australia,2016,,Yes,
No,No,Yes,Don't Know,Maybe,,Sometimes,Male,27.0,United States of America,2016,,No,
Yes,No,,,,,Sometimes,Male,31.0,Netherlands,2016,Not applicable to me,No,
No,Yes,Yes,Yes,Maybe,,Sometimes,Male,36.0,United States of America,2016,,Yes,
No,Yes,Yes,Don't Know,Maybe,,Always,Male,34.0,United States of America,2016,,Uncertain,1.0
No,No,Yes,Don't Know,Maybe,,Sometimes,Female,31.0,United States of America,2016,,No,0.0
No,Yes,Yes,Yes,No,,Never,Male,30.0,United States of America,2016,,Uncertain,
No,No,Yes,No,Maybe,,Never,Male,32.0,Canada,2016,,Uncertain,1.0
No,No,Yes,Don't Know,No,,Sometimes,Female,40.0,United States of America,2016,,Uncertain,1.0
No,No,Don't Know,Don't Know,Maybe,,Sometimes,Male,40.0,United States of America,2016,,No,1.0
No,No,Yes,No,No,,Sometimes,Male,41.0,France,2016,,Uncertain,
No,Yes,Not Eligible,No,Yes,,Never,Male,27.0,United Kingdom,2016,,Uncertain,1.0
No,No,Yes,Don't Know,No,,Sometimes,Male,30.0,United States of America,2016,,No,
Yes,No,,,,,Always,Male,29.0,Venezuela,2016,Not applicable to me,Uncertain,
Yes,No,,,,,Sometimes,Male,38.0,United Kingdom,2016,Not applicable to me,No,
Yes,No,,,,,Sometimes,Male,35.0,Netherlands,2016,Not applicable to me,No,
No,Yes,No,No,Maybe,,Never,Female,35.0,United States of America,2016,,Yes,0.0
No,Yes,Yes,Don't Know,Maybe,,Always,Male,29.0,United States of America,2016,,Yes,
No,No,Yes,Don't Know,Maybe,,Never,Male,28.0,United States of America,2016,,No,
No,Yes,No,Yes,No,,Sometimes,Male,27.0,Netherlands,2016,,Uncertain,1.0
Yes,Yes,,,,,Sometimes,Male,39.0,Poland,2016,No,No,
No,No,Yes,Don't Know,No,,Sometimes,Male,28.0,Belgium,2016,,No,
No,No,Don't Know,No,Yes,,Sometimes,Male,46.0,United States of America,2016,,No,1.0
No,Yes,No,Don't Know,No,,Sometimes,Male,40.0,Netherlands,2016,,No,
No,No,Yes,Yes,No,,Always,Male,37.0,United States of America,2016,,Uncertain,
No,No,No,Don't Know,No,,Sometimes,Male,41.0,Netherlands,2016,,No,
Yes,No,,,,,Never,Male,19.0,France,2016,Unsure,Yes,
No,No,Don't Know,Yes,No,,Never,Female,38.0,Netherlands,2016,,No,
No,No,Don't Know,No,Maybe,,Sometimes,Male,33.0,United States of America,2016,,No,
No,Yes,Yes,Yes,No,,Always,Male,33.0,United States of America,2016,,Yes,
No,No,Yes,Don't Know,No,,Never,Male,21.0,United Kingdom,2016,,No,
No,No,No,Don't Know,Maybe,,Never,Male,36.0,Brazil,2016,,Yes,
Yes,Yes,,,,,Sometimes,Male,39.0,Canada,2016,Yes,Yes,
No,No,Don't Know,Yes,No,,Sometimes,Male,35.0,United States of America,2016,,No,
Yes,Yes,,,,,Sometimes,Male,36.0,France,2016,Unsure,Yes,
No,No,Yes,No,Maybe,,Never,Male,45.0,United States of America,2016,,Uncertain,
No,No,Don't Know,No,Maybe,,Never,Male,41.0,Canada,2016,,Uncertain,
No,Yes,Don't Know,No,Maybe,,Sometimes,Male,35.0,United Kingdom,2016,,Yes,
Yes,Yes,,,,,Sometimes,Male,30.0,United States of America,2016,Yes,Uncertain,
No,Yes,Don't Know,Yes,No,,Sometimes,Female,24.0,United States of America,2016,,Yes,
No,Yes,No,Don't Know,Maybe,,Never,Male,33.0,Brazil,2016,,No,1.0
No,Yes,Yes,Don't Know,Maybe,,Sometimes,Male,35.0,United States of America,2016,,Uncertain,
No,No,No,Yes,No,,Sometimes,Male,26.0,United Kingdom,2016,,Yes,
No,No,No,No,Yes,,Always,Male,17.0,Brazil,2016,,No,
No,Yes,Don't Know,Don't Know,No,,Sometimes,Female,29.0,United States of America,2016,,Yes,1.0
No,Yes,Yes,Don't Know,No,,Sometimes,Male,26.0,United States of America,2016,,Yes,
No,No,Don't Know,Don't Know,No,,Always,Female,36.0,United States of America,2016,,No,
No,No,Don't Know,Yes,No,,Sometimes,Male,46.0,United States of America,2016,,No,
Yes,No,,,,,Sometimes,Male,39.0,Netherlands,2016,Unsure,Yes,
No,Yes,Yes,No,Maybe,,Sometimes,Female,28.0,United States of America,2016,,Yes,
No,No,Yes,Don't Know,Maybe,,Sometimes,Male,40.0,United States of America,2016,,No,
No,Yes,Don't Know,No,Yes,,Sometimes,Male,23.0,United States of America,2016,,Yes,
No,No,Don't Know,Don't Know,No,,Sometimes,Male,30.0,United States of America,2016,,No,
No,No,Don't Know,Don't Know,Maybe,,Sometimes,Other,28.0,United States of America,2016,,No,
No,No,No,No,Yes,,Never,Male,27.0,Netherlands,2016,,Uncertain,
Yes,Yes,,,,,Always,Male,31.0,United States of America,2016,Yes,Uncertain,
No,Yes,Yes,No,Maybe,,Never,Female,39.0,United States of America,2016,,Uncertain,
No,Yes,Yes,No,Maybe,,Always,Female,34.0,United States of America,2016,,Yes,
No,Yes,Yes,Yes,No,,Sometimes,Male,30.0,United States of America,2016,,Yes,
Yes,Yes,,,,,Never,Male,30.0,Denmark,2016,Yes,Yes,
No,No,Don't Know,Don't Know,No,,Sometimes,Male,31.0,United States of America,2016,,Uncertain,0.0
No,Yes,Yes,Yes,No,,Always,Male,30.0,United States of America,2016,,Yes,
No,No,Yes,Don't Know,Yes,,Sometimes,Male,32.0,United States of America,2016,,Uncertain,
Yes,Yes,,,,,Sometimes,Male,22.0,Czech Republic,2016,Yes,No,
Yes,No,,,,,Always,Female,37.0,Belgium,2016,Yes,Yes,
No,No,Yes,Don't Know,Maybe,,Sometimes,Male,51.0,United States of America,2016,,No,1.0
No,Yes,Don't Know,Don't Know,No,,Sometimes,Male,26.0,United States of America,2016,,Yes,1.0
No,Yes,Yes,Yes,No,,Sometimes,Female,41.0,United States of America,2016,,No,
No,Yes,Don't Know,Don't Know,No,,Sometimes,Female,39.0,United States of America,2016,,Yes,
No,Yes,Yes,Don't Know,Maybe,,Sometimes,Male,43.0,United States of America,2016,,Uncertain,
No,No,Don't Know,Don't Know,No,,Sometimes,Male,30.0,United Kingdom,2016,,Uncertain,
No,No,Yes,Yes,No,,Sometimes,Female,24.0,United States of America,2016,,No,
Yes,Yes,,,,,Sometimes,Male,30.0,Netherlands,2016,Yes,Yes,
No,Yes,No,Don't Know,Yes,,Sometimes,Female,28.0,Germany,2016,,Yes,1.0
Yes,Yes,,,,,Sometimes,Female,48.0,United States of America,2016,Yes,Yes,
Yes,Yes,,,,,Always,Female,55.0,United States of America,2016,Yes,Uncertain,
No,Yes,Don't Know,Don't Know,Yes,,Sometimes,Female,36.0,United States of America,2016,,Uncertain,1.0
Yes,No,,,,,Sometimes,Male,38.0,Netherlands,2016,Not applicable to me,No,
No,No,Don't Know,Don't Know,Maybe,,Sometimes,Male,34.0,France,2016,,No,
No,No,Yes,Yes,Maybe,,Sometimes,Female,44.0,United States of America,2016,,No,
No,Yes,Don't Know,Don't Know,Maybe,,Sometimes,Male,45.0,United States of America,2016,,Uncertain,1.0
No,Yes,Yes,No,Yes,,Sometimes,Male,45.0,United States of America,2016,,Uncertain,
No,Yes,No,No,Yes,,Sometimes,Male,30.0,United States of America,2016,,Yes,
No,Yes,Yes,Don't Know,Maybe,,Sometimes,Male,34.0,United States of America,2016,,Yes,1.0
No,No,Don't Know,Yes,No,,Sometimes,Male,37.0,United States of America,2016,,No,
No,No,Yes,Don't Know,Maybe,,Sometimes,Male,38.0,United States of America,2016,,No,1.0
No,Yes,Yes,Yes,No,,Sometimes,Male,31.0,United States of America,2016,,Uncertain,
No,No,Don't Know,Don't Know,No,,Always,Male,33.0,United States of America,2016,,No,
No,Yes,Yes,No,Yes,,Sometimes,Female,29.0,United States of America,2016,,Yes,
No,Yes,Yes,Don't Know,No,,Sometimes,Male,35.0,United States of America,2016,,Yes,
No,Yes,No,Don't Know,Maybe,,Always,Other,42.0,Canada,2016,,Yes,
No,No,Don't Know,Don't Know,Yes,,Sometimes,Female,26.0,United States of America,2016,,No,
No,Yes,Yes,Yes,Maybe,,Always,Female,36.0,United States of America,2016,,Uncertain,
